book,order,heading_id,section_type,title,heading_text,pov,word_count,pc1,pc2
The Way of Kings,49,chapter_38,chapter,Envisager,Chapter 38: Envisager,Kaladin,1761,-0.0029674090042728788,0.00024617623721334166
The Way of Kings,50,chapter_39,chapter,Burned Into Her,Chapter 39: Burned Into Her,Shallan,3791,0.009195543063708808,-0.014231804061761782
The Way of Kings,51,chapter_40,chapter,Eyes of Red and Blue,Chapter 40: Eyes of Red and Blue,Kaladin,5095,-0.016919746508629985,0.01492656179303422
The Way of Kings,52,chapter_41,chapter,Of Alds and Milp,Chapter 41: Of Alds and Milp,Kaladin,2075,0.03224184780258615,0.0077340492978198215
The Way of Kings,53,chapter_42,chapter,Beggars and Barmaids,Chapter 42: Beggars and Barmaids,Shallan,5444,0.009165344827729956,-0.017752640450688
The Way of Kings,54,chapter_43,chapter,The Wretch,Chapter 43: The Wretch,Kaladin,4588,-0.009461300510988535,0.004091640141967922
The Way of Kings,55,chapter_44,chapter,The Weeping,Chapter 44: The Weeping,Kaladin,4723,0.019644338221382847,0.00027639676943989736
The Way of Kings,56,chapter_45,chapter,Shadesmar,Chapter 45: Shadesmar,Shallan,7845,0.007672748235968883,-0.015338913978047581
The Way of Kings,57,chapter_46,chapter,Child of Tanavast,Chapter 46: Child of Tanavast,Kaladin,7194,-0.004458435592224361,-0.0009480674127365987
The Way of Kings,58,chapter_47,chapter,Stormblessings,Chapter 47: Stormblessings,Kaladin,4871,-0.011759066479110734,0.010054521120525841
The Way of Kings,59,chapter_48,chapter,Strawberry,Chapter 48: Strawberry,Shallan,3453,0.007558451531199259,-0.01861109843901768
The Way of Kings,60,chapter_49,chapter,To Care,Chapter 49: To Care,Kaladin,3553,-0.010445859693970843,0.0022147021330706164
The Way of Kings,61,chapter_50,chapter,Backbreaker Powder,Chapter 50: Backbreaker Powder,Shallan,1269,0.017592856853207085,-0.015558483810969739
The Way of Kings,62,chapter_51,chapter,Sas Nahn,Chapter 51: Sas Nahn,Kaladin,1889,-0.007696820896932631,0.006300374540925385
The Way of Kings,63,interlude_7,interlude,Baxil,Interlude I-7: Baxil,Baxil,1265,0.007311439684036731,-0.008584209599066214
The Way of Kings,64,interlude_8,interlude,Geranid,Interlude I-8: Geranid,Geranid,1444,0.0037379924345554787,-0.02181116918024325
The Way of Kings,65,interlude_9,interlude,Death Wears White,Interlude I-9: Death Wears White,Szeth,2880,-0.0070388393334156266,0.0009877844049249584
The Way of Kings,67,chapter_52,chapter,A Highway to the Sun,Chapter 52: A Highway to the Sun,Dalinar/Adolin,6986,0.005936766143983725,-0.003196245000496192
The Way of Kings,68,chapter_53,chapter,Dunny,Chapter 53: Dunny,Kaladin,2681,-0.023846513663063038,0.03361405595670262
The Way of Kings,69,chapter_54,chapter,Gibletish,Chapter 54: Gibletish,Dalinar,5564,0.0032120520021698827,-0.007594862844915357
The Way of Kings,70,chapter_55,chapter,An Emerald Broam,Chapter 55: An Emerald Broam,Kaladin,5826,-0.013646060244936503,0.006413869783878284
The Way of Kings,71,chapter_56,chapter,That Storming Book,Chapter 56: That Storming Book,Dalinar,4772,-0.007994953711411462,0.0014658008116424245
The Way of Kings,72,chapter_57,chapter,Wandersail,Chapter 57: Wandersail,Kaladin,8941,-0.00817612950684084,0.0031317977534363888
The Way of Kings,73,chapter_58,chapter,The Journey,Chapter 58: The Journey,Dalinar/Adolin,7379,0.010403585493016516,-0.0007580660454016928
The Way of Kings,74,chapter_59,chapter,An Honor,Chapter 59: An Honor,Kaladin,6573,-0.011505752934627324,0.0036270873215105168
The Way of Kings,75,chapter_60,chapter,That Which We Cannot Have,Chapter 60: That Which We Cannot Have,Dalinar,4150,0.002907878582269914,-0.009150565608633998
The Way of Kings,76,chapter_61,chapter,Right for Wrong,Chapter 61: Right for Wrong,Dalinar,3135,0.00895190635769448,-0.013084290298404603
The Way of Kings,77,chapter_62,chapter,Three Glyphs,Chapter 62: Three Glyphs,Kaladin,5120,-0.021247411291222904,0.02305871686218069
The Way of Kings,78,chapter_63,chapter,Fear,Chapter 63: Fear,Kaladin,2144,-0.013736086161052097,0.01302666655325236
The Way of Kings,79,chapter_64,chapter,A Man of Extremes,Chapter 64: A Man of Extremes,Dalinar/Adolin,3174,-0.0023291795646894187,0.00859222884831539
The Way of Kings,80,chapter_65,chapter,The Tower,Chapter 65: The Tower,Dalinar,3965,-0.01627672276630191,0.015194478257507735
The Way of Kings,81,chapter_66,chapter,Codes,Chapter 66: Codes,Dalinar,2479,-0.011742550639091907,0.018189902831191526
The Way of Kings,82,chapter_67,chapter,Words,Chapter 67: Words,Kaladin,7334,-0.02041401533352677,0.022029133714909305
The Way of Kings,83,chapter_68,chapter,Eshonai,Chapter 68: Eshonai,Dalinar,6746,-0.013100056551577068,0.01397373852227833
The Way of Kings,84,chapter_69,chapter,Justice,Chapter 69: Justice,Dalinar,7657,-0.0031729217280284743,0.0013978508946755554
The Way of Kings,86,chapter_70,chapter,Sea of Glass,Chapter 70: Sea of Glass,Shallan,2400,0.006925070634337793,-0.01783454570434722
