narr_pos,book,book_short,chapter_order,heading_id,section_type,part_number,pov,heading_text,n_paras,compound_mean,compound_std,pos_mean,neg_mean
38,The Way of Kings,WoK,41,chapter_30,chapter,3.0,Kaladin,Chapter 30: Darkness Unseen,117,0.02962,0.46705,0.09062,0.07862
39,The Way of Kings,WoK,42,chapter_31,chapter,3.0,Kaladin,Chapter 31: Beneath the Skin,61,-0.09843,0.47099,0.05423,0.09075
40,The Way of Kings,WoK,43,chapter_32,chapter,3.0,Kaladin,Chapter 32: Side Carry,155,-0.02298,0.46506,0.06592,0.07135
41,The Way of Kings,WoK,44,chapter_33,chapter,3.0,Shallan,Chapter 33: Cymatics,200,0.1789,0.41556,0.10872,0.05528
42,The Way of Kings,WoK,45,chapter_34,chapter,3.0,Kaladin,Chapter 34: Stormwall,73,-0.0932,0.44175,0.06342,0.06916
43,The Way of Kings,WoK,46,chapter_35,chapter,3.0,Kaladin,Chapter 35: A Light by Which to See,45,-0.2526,0.41707,0.04642,0.09009
44,The Way of Kings,WoK,47,chapter_36,chapter,3.0,Shallan,Chapter 36: The Lesson,175,0.03733,0.45082,0.08021,0.06618
45,The Way of Kings,WoK,48,chapter_37,chapter,3.0,Kaladin,Chapter 37: Sides,228,0.04075,0.38906,0.07433,0.07033
46,The Way of Kings,WoK,49,chapter_38,chapter,3.0,Kaladin,Chapter 38: Envisager,62,-0.0462,0.48305,0.07981,0.09324
47,The Way of Kings,WoK,50,chapter_39,chapter,3.0,Shallan,Chapter 39: Burned Into Her,86,-0.03705,0.58147,0.08128,0.09865
48,The Way of Kings,WoK,51,chapter_40,chapter,3.0,Kaladin,Chapter 40: Eyes of Red and Blue,170,-0.01063,0.50562,0.08225,0.08401
49,The Way of Kings,WoK,52,chapter_41,chapter,3.0,Kaladin,Chapter 41: Of Alds and Milp,80,-0.12075,0.43893,0.05912,0.08732
50,The Way of Kings,WoK,53,chapter_42,chapter,3.0,Shallan,Chapter 42: Beggars and Barmaids,204,0.1479,0.46267,0.1338,0.06751
51,The Way of Kings,WoK,54,chapter_43,chapter,3.0,Kaladin,Chapter 43: The Wretch,174,-0.1474,0.46221,0.07787,0.12394
52,The Way of Kings,WoK,55,chapter_44,chapter,3.0,Kaladin,Chapter 44: The Weeping,173,0.11138,0.45599,0.09605,0.05348
53,The Way of Kings,WoK,56,chapter_45,chapter,3.0,Shallan,Chapter 45: Shadesmar,272,0.02961,0.44685,0.09309,0.06588
54,The Way of Kings,WoK,57,chapter_46,chapter,3.0,Kaladin,Chapter 46: Child of Tanavast,251,-0.02204,0.47857,0.07489,0.0802
55,The Way of Kings,WoK,58,chapter_47,chapter,3.0,Kaladin,Chapter 47: Stormblessings,164,-0.18162,0.45462,0.06024,0.12994
56,The Way of Kings,WoK,59,chapter_48,chapter,3.0,Shallan,Chapter 48: Strawberry,137,0.01544,0.43013,0.09818,0.0833
57,The Way of Kings,WoK,60,chapter_49,chapter,3.0,Kaladin,Chapter 49: To Care,111,-0.00743,0.45669,0.1005,0.08366
58,The Way of Kings,WoK,61,chapter_50,chapter,3.0,Shallan,Chapter 50: Backbreaker Powder,52,-0.13401,0.46624,0.08658,0.12298
59,The Way of Kings,WoK,62,chapter_51,chapter,3.0,Kaladin,Chapter 51: Sas Nahn,72,-0.03078,0.50066,0.0906,0.10899
60,The Way of Kings,WoK,63,interlude_7,interlude,3.0,Baxil,Interlude I-7: Baxil,48,0.15069,0.41762,0.10373,0.04985
61,The Way of Kings,WoK,64,interlude_8,interlude,3.0,Geranid,Interlude I-8: Geranid,59,0.18044,0.38022,0.09949,0.04461
62,The Way of Kings,WoK,65,interlude_9,interlude,3.0,Szeth,Interlude I-9: Death Wears White,78,-0.25921,0.45184,0.04522,0.11813
63,The Way of Kings,WoK,67,chapter_52,chapter,4.0,Dalinar/Adolin,Chapter 52: A Highway to the Sun,231,0.06447,0.46079,0.09374,0.0732
64,The Way of Kings,WoK,68,chapter_53,chapter,4.0,Kaladin,Chapter 53: Dunny,82,-0.07157,0.44156,0.06828,0.10341
65,The Way of Kings,WoK,69,chapter_54,chapter,4.0,Dalinar,Chapter 54: Gibletish,186,0.03235,0.42681,0.08103,0.06504
66,The Way of Kings,WoK,70,chapter_55,chapter,4.0,Kaladin,Chapter 55: An Emerald Broam,191,0.00062,0.4526,0.07308,0.07513
67,The Way of Kings,WoK,71,chapter_56,chapter,4.0,Dalinar,Chapter 56: That Storming Book,117,-0.10889,0.51297,0.07948,0.11058
68,The Way of Kings,WoK,72,chapter_57,chapter,4.0,Kaladin,Chapter 57: Wandersail,325,0.00788,0.46166,0.0849,0.07509
69,The Way of Kings,WoK,73,chapter_58,chapter,4.0,Dalinar/Adolin,Chapter 58: The Journey,231,0.11702,0.49436,0.11058,0.07684
70,The Way of Kings,WoK,74,chapter_59,chapter,4.0,Kaladin,Chapter 59: An Honor,226,0.0697,0.45438,0.08408,0.07778
71,The Way of Kings,WoK,75,chapter_60,chapter,4.0,Dalinar,Chapter 60: That Which We Cannot Have,149,0.09443,0.47721,0.11719,0.06377
72,The Way of Kings,WoK,76,chapter_61,chapter,4.0,Dalinar,Chapter 61: Right for Wrong,130,0.06449,0.47528,0.13103,0.07935
73,The Way of Kings,WoK,77,chapter_62,chapter,4.0,Kaladin,Chapter 62: Three Glyphs,169,-0.03005,0.4791,0.08025,0.08757
74,The Way of Kings,WoK,78,chapter_63,chapter,4.0,Kaladin,Chapter 63: Fear,77,0.13379,0.45749,0.11322,0.07216
75,The Way of Kings,WoK,79,chapter_64,chapter,4.0,Dalinar/Adolin,Chapter 64: A Man of Extremes,112,0.06778,0.44968,0.10761,0.06593
76,The Way of Kings,WoK,80,chapter_65,chapter,4.0,Dalinar,Chapter 65: The Tower,102,-0.06108,0.48052,0.06772,0.09143
77,The Way of Kings,WoK,81,chapter_66,chapter,4.0,Dalinar,Chapter 66: Codes,68,-0.12991,0.49037,0.08112,0.10494
78,The Way of Kings,WoK,82,chapter_67,chapter,4.0,Kaladin,Chapter 67: Words,283,-0.16886,0.47444,0.05927,0.12477
79,The Way of Kings,WoK,83,chapter_68,chapter,4.0,Dalinar,Chapter 68: Eshonai,198,-0.04894,0.49569,0.08067,0.09237
80,The Way of Kings,WoK,84,chapter_69,chapter,4.0,Dalinar,Chapter 69: Justice,255,0.00228,0.48706,0.09144,0.08708
81,The Way of Kings,WoK,86,chapter_70,chapter,5.0,Shallan,Chapter 70: Sea of Glass,85,-0.10632,0.49253,0.07942,0.09461
82,The Way of Kings,WoK,87,chapter_71,chapter,5.0,Szeth,Chapter 71: Recorded in Blood,85,-0.18481,0.50259,0.06679,0.13282
83,The Way of Kings,WoK,88,chapter_72,chapter,5.0,Shallan,Chapter 72: Veristitalian,42,-0.02685,0.40238,0.05638,0.09607
84,The Way of Kings,WoK,89,chapter_73,chapter,5.0,Kaladin,Chapter 73: Trust,145,0.1397,0.43723,0.12347,0.06363
85,The Way of Kings,WoK,90,chapter_74,chapter,5.0,Shallan,Chapter 74: Ghostblood,31,-0.15938,0.47323,0.06016,0.10071
86,The Way of Kings,WoK,91,chapter_75,chapter,5.0,Dalinar,Chapter 75: In the Top Room,70,-0.04615,0.43428,0.06793,0.08521
87,The Way of Kings,WoK,92,epilogue,epilogue,5.0,Wit,Epilogue: Of Most Worth,49,0.17862,0.51888,0.10714,0.07563
88,Words of Radiance,WoR,1,prologue,prologue,,Jasnah,Prologue: To Question,196,-0.07195,0.41162,0.05784,0.09016
89,Words of Radiance,WoR,3,chapter_1,chapter,1.0,Shallan,Chapter 1: Santhid,248,0.09379,0.47783,0.10158,0.07086
90,Words of Radiance,WoR,4,chapter_2,chapter,1.0,Kaladin,Chapter 2: Bridge Four,166,0.00826,0.48076,0.07263,0.06975
91,Words of Radiance,WoR,5,chapter_3,chapter,1.0,Shallan,Chapter 3: Pattern,80,0.14216,0.42462,0.09189,0.0488
92,Words of Radiance,WoR,6,chapter_4,chapter,1.0,Dalinar,Chapter 4: Taker of Secrets,153,0.05381,0.4258,0.08219,0.06202
93,Words of Radiance,WoR,7,chapter_5,chapter,1.0,Kaladin,Chapter 5: Ideals,287,0.0917,0.45055,0.10845,0.06321
94,Words of Radiance,WoR,8,chapter_6,chapter,1.0,Shallan,Chapter 6: Terrible Destruction,163,0.05663,0.41734,0.08658,0.0843
95,Words of Radiance,WoR,9,chapter_7,chapter,1.0,Shallan,Chapter 7: Open Flame,113,-0.09541,0.38043,0.04013,0.1005
96,Words of Radiance,WoR,10,chapter_8,chapter,1.0,Dalinar,Chapter 8: Knives in the Back • Soldiers on the Field,78,0.00267,0.48177,0.08662,0.10517
97,Words of Radiance,WoR,11,chapter_9,chapter,1.0,Kaladin,Chapter 9: Walking the Grave,121,0.06876,0.4267,0.09685,0.06111
98,Words of Radiance,WoR,12,chapter_10,chapter,1.0,Shallan,Chapter 10: Red Carpet Once White,17,-0.01358,0.32846,0.073,0.067
99,Words of Radiance,WoR,13,chapter_11,chapter,1.0,Shallan,Chapter 11: An Illusion of Perception,164,-0.03441,0.43087,0.08619,0.07776
100,Words of Radiance,WoR,14,chapter_12,chapter,1.0,Kaladin,Chapter 12: Hero,178,0.05833,0.43531,0.0942,0.06156
101,Words of Radiance,WoR,15,interlude_1,interlude,1.0,Eshonai,Interlude I-1,100,-0.001,0.52792,0.08308,0.0767
102,Words of Radiance,WoR,16,interlude_2,interlude,1.0,Ym,Interlude I-2,127,0.06926,0.38872,0.07706,0.06732
103,Words of Radiance,WoR,17,interlude_3,interlude,1.0,Rysn,Interlude I-3,280,0.11757,0.42331,0.09082,0.05955
104,Words of Radiance,WoR,18,interlude_4,interlude,1.0,Eshonai,Interlude I-4,155,0.03731,0.45739,0.09385,0.08739
105,Words of Radiance,WoR,20,chapter_13,chapter,2.0,Shallan,Chapter 13: The Day's Masterpiece,113,0.02555,0.41823,0.10447,0.07648
106,Words of Radiance,WoR,21,chapter_14,chapter,2.0,Adolin,Chapter 14: Ironstance,119,0.0111,0.46522,0.09032,0.09687
107,Words of Radiance,WoR,22,chapter_15,chapter,2.0,Shallan,Chapter 15: A Hand with the Tower,80,-0.10258,0.43879,0.06952,0.10726
108,Words of Radiance,WoR,23,chapter_16,chapter,2.0,Kaladin,Chapter 16: Swordmaster,167,0.08414,0.38955,0.07783,0.04874
109,Words of Radiance,WoR,24,chapter_17,chapter,2.0,Shallan,Chapter 17: A Pattern,189,-0.0298,0.44625,0.08458,0.08724
110,Words of Radiance,WoR,25,chapter_18,chapter,2.0,Kaladin,Chapter 18: Bruises,168,0.01554,0.4154,0.09385,0.0905
111,Words of Radiance,WoR,26,chapter_19,chapter,2.0,Shallan,Chapter 19: Safe Things,57,0.12485,0.4069,0.07975,0.05265
112,Words of Radiance,WoR,27,chapter_20,chapter,2.0,Shallan,Chapter 20: The Coldness of Clarity,105,0.02553,0.43688,0.08053,0.07774
113,Words of Radiance,WoR,28,chapter_21,chapter,2.0,Shallan,Chapter 21: Ashes,91,-0.00782,0.44964,0.09014,0.08032
114,Words of Radiance,WoR,29,chapter_22,chapter,2.0,Kaladin,Chapter 22: Lights in the Storm,188,0.04771,0.40178,0.07188,0.04832
115,Words of Radiance,WoR,30,chapter_23,chapter,2.0,Kaladin,Chapter 23: Assassin,70,0.10947,0.42918,0.11796,0.06553
116,Words of Radiance,WoR,31,chapter_24,chapter,2.0,Shallan,Chapter 24: Tyn,160,0.08516,0.45254,0.12221,0.06232
117,Words of Radiance,WoR,32,chapter_25,chapter,2.0,Kaladin,Chapter 25: Monsters,175,0.1099,0.41616,0.09725,0.06045
118,Words of Radiance,WoR,33,chapter_26,chapter,2.0,Adolin,Chapter 26: The Feather,137,0.09452,0.4416,0.10006,0.06239
119,Words of Radiance,WoR,34,chapter_27,chapter,2.0,Shallan,Chapter 27: Fabrications to Distract,31,0.01892,0.3371,0.06055,0.06503
120,Words of Radiance,WoR,35,chapter_28,chapter,2.0,Shallan,Chapter 28: Boots,128,0.08552,0.41846,0.1078,0.07481
121,Words of Radiance,WoR,36,chapter_29,chapter,2.0,Sadeas,Chapter 29: Rule of Blood,100,0.03605,0.51344,0.10602,0.08761
122,Words of Radiance,WoR,37,chapter_30,chapter,2.0,Shallan,Chapter 30: Nature Blushing,102,0.17815,0.41031,0.11188,0.05505
123,Words of Radiance,WoR,38,chapter_31,chapter,2.0,Shallan,Chapter 31: The Stillness Before,98,0.08544,0.45077,0.09728,0.0675
124,Words of Radiance,WoR,39,chapter_32,chapter,2.0,Kaladin,Chapter 32: The One Who Hates,153,-0.10109,0.395,0.05399,0.08569
125,Words of Radiance,WoR,40,chapter_33,chapter,2.0,Kaladin,Chapter 33: Burdens,126,-0.05352,0.40501,0.06393,0.09531
126,Words of Radiance,WoR,41,chapter_34,chapter,2.0,Shallan,Chapter 34: Blossoms and Cake,111,-0.0555,0.4827,0.08096,0.11419
127,Words of Radiance,WoR,42,interlude_5,interlude,2.0,Eshonai,Interlude I-5,43,0.08043,0.44905,0.09219,0.08251
128,Words of Radiance,WoR,43,interlude_6,interlude,2.0,Zahel,Interlude I-6,21,-0.05915,0.38632,0.04671,0.04538
129,Words of Radiance,WoR,44,interlude_7,interlude,2.0,Talk,Interlude I-7,59,0.01808,0.34677,0.10614,0.05236
130,Words of Radiance,WoR,45,interlude_8,interlude,2.0,Eshonai,Interlude I-8,22,0.13265,0.42775,0.13232,0.04159
131,Words of Radiance,WoR,47,chapter_35,chapter,3.0,Adolin,Chapter 35: The Multiplied Strain of Simultaneous Infusion,139,0.05342,0.45926,0.09071,0.07041
132,Words of Radiance,WoR,48,chapter_36,chapter,3.0,Shallan,Chapter 36: A New Woman,176,0.08533,0.45493,0.11258,0.05246
133,Words of Radiance,WoR,49,chapter_37,chapter,3.0,Adolin,Chapter 37: A Matter of Perspective,94,0.08517,0.42398,0.09106,0.0709
134,Words of Radiance,WoR,50,chapter_38,chapter,3.0,Shallan,Chapter 38: The Silent Storm,182,0.08061,0.47019,0.09398,0.07507
135,Words of Radiance,WoR,51,chapter_39,chapter,3.0,Shallan,Chapter 39: Heterochromatic,119,0.03456,0.44365,0.08073,0.07245
136,Words of Radiance,WoR,52,chapter_40,chapter,3.0,Shallan,Chapter 40: Palona,88,0.0856,0.38873,0.10395,0.04342
137,Words of Radiance,WoR,53,chapter_41,chapter,3.0,Kaladin,Chapter 41: Scars,257,0.05636,0.3961,0.08618,0.06182
138,Words of Radiance,WoR,54,chapter_42,chapter,3.0,Shallan,Chapter 42: Mere Vapors,87,0.0541,0.34085,0.05003,0.03714
139,Words of Radiance,WoR,55,chapter_43,chapter,3.0,Shallan,Chapter 43: The Ghostbloods,154,-0.00442,0.42682,0.07249,0.05816
