book,order,section_type,part_number,number,title,heading_id,heading_text,pov,word_count,line_start,line_end
The Way of Kings,20,chapter,2,13,Ten Heartbeats,chapter_13,Chapter 13: Ten Heartbeats,Dalinar/Adolin,3362,4375,4612
The Way of Kings,21,chapter,2,14,Payday,chapter_14,Chapter 14: Payday,Kaladin,3882,4613,4900
The Way of Kings,22,chapter,2,15,The Decoy,chapter_15,Chapter 15: The Decoy,Dalinar/Adolin,9174,4901,5524
The Way of Kings,23,chapter,2,16,Cocoons,chapter_16,Chapter 16: Cocoons,Kaladin,5605,5525,5904
The Way of Kings,24,chapter,2,17,"A Bloody, Red Sunset",chapter_17,"Chapter 17: A Bloody, Red Sunset",Kaladin,6977,5905,6325
The Way of Kings,25,chapter,2,18,Highprince of War,chapter_18,Chapter 18: Highprince of War,Dalinar,8439,6326,6913
The Way of Kings,26,chapter,2,19,Starfalls,chapter_19,Chapter 19: Starfalls,Dalinar,5950,6914,7303
The Way of Kings,27,chapter,2,20,Scarlet,chapter_20,Chapter 20: Scarlet,Kaladin,755,7304,7365
The Way of Kings,28,chapter,2,21,Why Men Lie,chapter_21,Chapter 21: Why Men Lie,Kaladin,4371,7366,7735
The Way of Kings,29,chapter,2,22,"Eyes, Hands, or Spheres?",chapter_22,"Chapter 22: Eyes, Hands, or Spheres?",Dalinar,5674,7736,8105
The Way of Kings,30,chapter,2,23,Many Uses,chapter_23,Chapter 23: Many Uses,Kaladin,5435,8106,8525
The Way of Kings,31,chapter,2,24,The Gallery of Maps,chapter_24,Chapter 24: The Gallery of Maps,Dalinar/Adolin,3482,8526,8793
The Way of Kings,32,chapter,2,25,The Butcher,chapter_25,Chapter 25: The Butcher,Kaladin,3278,8794,9023
The Way of Kings,33,chapter,2,26,Stillness,chapter_26,Chapter 26: Stillness,Dalinar,6613,9024,9409
The Way of Kings,34,chapter,2,27,Chasm Duty,chapter_27,Chapter 27: Chasm Duty,Kaladin,9137,9410,10025
The Way of Kings,35,chapter,2,28,Decision,chapter_28,Chapter 28: Decision,Dalinar/Adolin,9646,10026,10689
The Way of Kings,36,interlude,2,4,Rysn,interlude_4,Interlude I-4: Rysn,Rysn,2746,10690,10865
The Way of Kings,37,interlude,2,5,Axies the Collector,interlude_5,Interlude I-5: Axies the Collector,Axies,2098,10866,11005
The Way of Kings,38,interlude,2,6,A Work of Art,interlude_6,Interlude I-6: A Work of Art,Szeth,3454,11006,11173
The Way of Kings,39,part,3,3,Dying,part_3,Part Three: Dying,,0,11174,11175
The Way of Kings,40,chapter,3,29,Errorgance,chapter_29,Chapter 29: Errorgance,Shallan,6581,11176,11685
The Way of Kings,41,chapter,3,30,Darkness Unseen,chapter_30,Chapter 30: Darkness Unseen,Kaladin,3676,11686,11933
